LPS|GNFR|E-PRTR/PRTR Facility ID|Height class|Longitude (deg)|Latitude (deg)|NOx (as NO2) (kt)|NMVOC (kt)|SOx (as SO2) (kt)|NH3 (kt)|PM2.5 (kt)|PM10 (kt)|CO (kt)|Pb (t)|Cd (t)|Hg (t)|PCDD/ PCDF (dioxins/ furans)(g I-Teq)|PAHs (t)|HCB (kg)|PCBs (kg)
LGH Landwirtschaftliche Gesellschaft mbH|K_AgriLivestock|14-74-47147620000|1|14,2626736140376|51,2984172424145||||0,0133||||||||||
LSL - Rhein - Main Geflügelvermehrungsbetriebe GmbH|K_AgriLivestock|07-04-6073061|1|8,4384527291733|49,7351458669605||||0,0214||||||||||
LSM Schweinemast GmbH & Co. KG -|K_AgriLivestock|14-82-58267930000|1|12,8694715434074|51,4855362036621||||0,0227||||||||||
LVG Kläne-Menke GmbH & Co. KG|K_AgriLivestock|12-20732350000|1|13,4831016293884|53,0931853970782||||0,0177||||||||||
Laminate Park GmbH & Co. KG .|B_Industry|06-10-0029535|2|6,92966315914467|49,3650384881173||0,136||||||||||||
Lammers, Reiner Mastschweinebetrieb|K_AgriLivestock|03-79-35801629000|1|10,1502539773363|52,9240221904369||||0,014||||||||||
Lamping, Josef|K_AgriLivestock|03-85-45300266800|1|7,97809559435963|52,9787841856433||||0,014||||||||||
Lamping, Reinhard|K_AgriLivestock|03-85-45300512750|1|8,10270294940176|52,8275014866082||||0,0137||||||||||
Landesanstalt für Schweinezucht|K_AgriLivestock|06-08-15032607|1|9,65027349384155|49,4463809682544||||0,0102||||||||||
Landgut GmbH Staritz Schweinemastanlage Döbeltitz|K_AgriLivestock|14-82-58267820000|1|13,1013550285642|51,4895118064685||||0,0128||||||||||
Landgut Heideland e.G. Groß Naundorf|K_AgriLivestock|10318|1|13,0915581534467|51,8015020570617||||0,0159||||||||||
Landgut Ostelbien KG|K_AgriLivestock|14-80-00039250000|1|13,0567041935896|51,5865413597576||||0,0147||||||||||
Landschwein Rixen KG|K_AgriLivestock|01-20-58170536469|1|10,0538050464032|54,1594375561993||||0,0118||||||||||
Landwirtschaft Klostermansfeld GmbH & Co. KG|K_AgriLivestock|14461|1|11,4999362755524|51,5799935563382||||0,0108||||||||||
Landwirtschaft Körner GmbH & Co.Betriebs KG|K_AgriLivestock|16-90-71257880001|1|10,5893013058503|51,2268047099623||||0,0111||||||||||
Landwirtschaft Wallhausen GmbH u. Co. KG|K_AgriLivestock|14464|1|11,2130110475718|51,4638901967003||||0,018||||||||||
Landwirtschaftsbetrieb Gerrit Meyer|K_AgriLivestock|11194|1|12,0288217954662|51,644699387727||||0,014||||||||||
Landwirtschaftsbetrieb Johannes Wübbel & Schweineaufzucht Parkentin GbR Landwirtschaftsbetrieb Johannes Wübbel & Schweineaufzucht Parkentin GbR|K_AgriLivestock|13-30-1070148|1|11,9806189276764|54,0877707067819||||0,0185||||||||||
Landwirtschaftsbetrieb T. Winnige|K_AgriLivestock|12-30642931000|1|14,3021576335202|52,6174860033109||||0,0157||||||||||
Lech-Stahlwerke GmbH|B_Industry|06-09-772-0119-0001|5|10,8601775008526|48,5106659892612|0,241|0,132|0,2||||1,36|||||||
